DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
07/03/20,CAUSEWAY BAY,57,37,78,200,31,59,5
08/03/20,CAUSEWAY BAY,31,25,62,146,21,34,4
09/03/20,CAUSEWAY BAY,38,22,62,180,17,35,5
10/03/20,CAUSEWAY BAY,64,17,84,207,21,30,6
11/03/20,CAUSEWAY BAY,45,20,57,110,52,34,4
12/03/20,CAUSEWAY BAY,58,39,75,163,47,73,4
13/03/20,CAUSEWAY BAY,84,53,77,265,13,73,6
14/03/20,CAUSEWAY BAY,61,21,66,146,30,32,5
15/03/20,CAUSEWAY BAY,49,33,61,104,60,49,4
16/03/20,CAUSEWAY BAY,31,28,68,110,79,58,4
17/03/20,CAUSEWAY BAY,32,27,73,117,73,58,5
18/03/20,CAUSEWAY BAY,52,30,92,219,30,50,6
19/03/20,CAUSEWAY BAY,44,25,72,155,22,35,4
20/03/20,CAUSEWAY BAY,38,30,65,124,37,42,4
21/03/20,CAUSEWAY BAY,54,35,72,157,31,62,4
22/03/20,CAUSEWAY BAY,59,31,73,231,7,44,7
23/03/20,CAUSEWAY BAY,35,25,62,214,18,36,8
24/03/20,CAUSEWAY BAY,26,24,63,109,64,42,3
25/03/20,CAUSEWAY BAY,21,22,55,92,60,37,3
26/03/20,CAUSEWAY BAY,26,28,59,131,33,40,4
27/03/20,CAUSEWAY BAY,24,26,61,173,20,39,5
28/03/20,CAUSEWAY BAY,47,23,64,222,16,33,6
29/03/20,CAUSEWAY BAY,17,16,37,64,56,37,3
30/03/20,CAUSEWAY BAY,28,18,48,113,31,26,3
31/03/20,CAUSEWAY BAY,54,18,54,205,15,23,6
01/04/20,CAUSEWAY BAY,53,18,49,202,12,32,7
02/04/20,CAUSEWAY BAY,24,16,51,88,67,35,3
03/04/20,CAUSEWAY BAY,33,26,62,122,49,39,3
04/04/20,CAUSEWAY BAY,45,17,51,107,42,22,3
05/04/20,CAUSEWAY BAY,48,19,50,110,50,27,3
06/04/20,CAUSEWAY BAY,61,18,66,169,37,23,4
07/04/20,CAUSEWAY BAY,62,13,60,156,21,19,4
08/04/20,CAUSEWAY BAY,37,18,76,141,54,33,4
09/04/20,CAUSEWAY BAY,29,17,78,121,68,34,5
10/04/20,CAUSEWAY BAY,28,21,64,97,84,41,4
11/04/20,CAUSEWAY BAY,61,32,84,202,33,62,5
12/04/20,CAUSEWAY BAY,58,15,60,113,57,25,4
13/04/20,CAUSEWAY BAY,48,18,78,141,65,29,5
14/04/20,CAUSEWAY BAY,38,24,82,132,74,44,5
15/04/20,CAUSEWAY BAY,48,28,112,207,43,47,8
16/04/20,CAUSEWAY BAY,43,N.A.,94,200,30,N.A.,7
17/04/20,CAUSEWAY BAY,41,23,70,139,37,42,5
18/04/20,CAUSEWAY BAY,43,24,74,176,24,46,5
19/04/20,CAUSEWAY BAY,48,23,66,187,16,40,7
20/04/20,CAUSEWAY BAY,36,19,59,224,11,31,8
21/04/20,CAUSEWAY BAY,30,19,52,189,11,30,6
22/04/20,CAUSEWAY BAY,31,16,53,96,50,23,4
23/04/20,CAUSEWAY BAY,43,18,60,122,46,28,4
24/04/20,CAUSEWAY BAY,63,20,67,183,16,32,6
25/04/20,CAUSEWAY BAY,64,30,83,208,23,44,6
26/04/20,CAUSEWAY BAY,82,72,148,249,47,92,10
27/04/20,CAUSEWAY BAY,55,51,104,163,62,70,7
28/04/20,CAUSEWAY BAY,29,23,76,118,75,49,6
29/04/20,CAUSEWAY BAY,25,23,65,106,69,48,4
30/04/20,CAUSEWAY BAY,38,22,75,152,45,41,6
01/05/20,CAUSEWAY BAY,38,23,78,209,16,39,9
02/05/20,CAUSEWAY BAY,35,24,65,182,17,36,9
03/05/20,CAUSEWAY BAY,41,14,55,167,18,23,8
04/05/20,CAUSEWAY BAY,42,14,46,181,11,22,8
05/05/20,CAUSEWAY BAY,54,10,51,187,14,15,8
06/05/20,CAUSEWAY BAY,54,13,47,151,14,22,7
07/05/20,CAUSEWAY BAY,54,14,49,172,14,24,7
08/05/20,CAUSEWAY BAY,50,12,44,167,14,22,7
09/05/20,CAUSEWAY BAY,53,10,42,139,16,19,7
10/05/20,CAUSEWAY BAY,68,15,66,236,12,28,9
11/05/20,CAUSEWAY BAY,74,18,86,300,14,34,12
12/05/20,CAUSEWAY BAY,86,35,124,280,19,50,10
13/05/20,CAUSEWAY BAY,79,44,97,153,55,63,6
14/05/20,CAUSEWAY BAY,59,23,73,155,52,48,3
15/05/20,CAUSEWAY BAY,62,19,66,191,21,34,5
16/05/20,CAUSEWAY BAY,60,17,68,242,10,28,6
17/05/20,CAUSEWAY BAY,62,13,58,196,12,21,6
18/05/20,CAUSEWAY BAY,72,15,80,224,16,23,6
19/05/20,CAUSEWAY BAY,68,15,89,213,21,26,5
20/05/20,CAUSEWAY BAY,59,17,64,116,41,31,3
21/05/20,CAUSEWAY BAY,64,16,53,154,23,25,4
22/05/20,CAUSEWAY BAY,85,21,81,264,19,31,7
23/05/20,CAUSEWAY BAY,58,12,58,106,49,18,3
24/05/20,CAUSEWAY BAY,49,11,47,84,60,18,3
25/05/20,CAUSEWAY BAY,67,19,69,177,22,29,4
26/05/20,CAUSEWAY BAY,83,22,77,266,14,34,7
27/05/20,CAUSEWAY BAY,82,27,95,305,12,40,9
28/05/20,CAUSEWAY BAY,58,23,57,104,38,41,3
29/05/20,CAUSEWAY BAY,58,21,62,146,35,34,4
30/05/20,CAUSEWAY BAY,N.A.,18,N.A.,N.A.,N.A.,25,N.A.
31/05/20,CAUSEWAY BAY,55,15,34,113,17,25,3
01/06/20,CAUSEWAY BAY,52,11,39,170,13,19,4
02/06/20,CAUSEWAY BAY,51,11,39,162,12,18,4
03/06/20,CAUSEWAY BAY,52,9,43,155,20,16,4
04/06/20,CAUSEWAY BAY,48,11,47,182,16,18,5
05/06/20,CAUSEWAY BAY,49,11,46,169,18,18,5
06/06/20,CAUSEWAY BAY,58,11,51,164,19,18,4
07/06/20,CAUSEWAY BAY,66,13,47,161,17,20,4
08/06/20,CAUSEWAY BAY,59,14,51,176,18,24,4
09/06/20,CAUSEWAY BAY,55,13,45,163,16,25,4
10/06/20,CAUSEWAY BAY,53,11,41,157,19,19,5
11/06/20,CAUSEWAY BAY,52,11,56,212,13,18,7
12/06/20,CAUSEWAY BAY,54,15,61,221,11,24,7
13/06/20,CAUSEWAY BAY,51,15,41,128,18,26,5
14/06/20,CAUSEWAY BAY,48,12,44,111,27,19,4
15/06/20,CAUSEWAY BAY,48,13,54,193,17,23,6
16/06/20,CAUSEWAY BAY,55,12,47,185,13,23,6
17/06/20,CAUSEWAY BAY,52,11,45,150,18,18,6
18/06/20,CAUSEWAY BAY,51,11,50,195,15,19,7
19/06/20,CAUSEWAY BAY,46,9,50,186,17,14,7
20/06/20,CAUSEWAY BAY,47,10,51,216,15,15,8
21/06/20,CAUSEWAY BAY,51,8,42,184,13,14,7
22/06/20,CAUSEWAY BAY,51,10,55,243,13,20,8
23/06/20,CAUSEWAY BAY,52,11,53,220,13,21,8
24/06/20,CAUSEWAY BAY,50,13,48,181,16,23,6
25/06/20,CAUSEWAY BAY,48,10,31,110,18,19,4
26/06/20,CAUSEWAY BAY,46,12,44,192,14,21,5
27/06/20,CAUSEWAY BAY,53,14,46,169,14,21,5
28/06/20,CAUSEWAY BAY,49,13,50,187,15,19,5
29/06/20,CAUSEWAY BAY,50,12,56,228,12,19,6
30/06/20,CAUSEWAY BAY,48,12,56,203,14,19,6
01/07/20,CAUSEWAY BAY,47,9,43,155,17,13,5
02/07/20,CAUSEWAY BAY,52,12,58,194,16,20,5
03/07/20,CAUSEWAY BAY,55,15,52,194,16,24,5
04/07/20,CAUSEWAY BAY,52,14,52,196,12,24,5
05/07/20,CAUSEWAY BAY,48,10,45,165,17,16,5
06/07/20,CAUSEWAY BAY,46,9,54,245,15,15,6
07/07/20,CAUSEWAY BAY,49,9,58,272,13,16,7
08/07/20,CAUSEWAY BAY,54,12,52,237,12,22,6
09/07/20,CAUSEWAY BAY,46,N.A.,46,193,14,N.A.,6
10/07/20,CAUSEWAY BAY,43,14,33,131,15,28,5
11/07/20,CAUSEWAY BAY,48,17,41,144,16,30,5
12/07/20,CAUSEWAY BAY,49,14,48,172,17,24,5
13/07/20,CAUSEWAY BAY,51,12,52,213,12,19,7
14/07/20,CAUSEWAY BAY,57,12,65,241,14,21,9
15/07/20,CAUSEWAY BAY,48,9,45,174,17,14,6
16/07/20,CAUSEWAY BAY,48,8,43,188,14,14,6
17/07/20,CAUSEWAY BAY,49,8,43,215,11,16,7
18/07/20,CAUSEWAY BAY,48,9,47,218,12,15,7
19/07/20,CAUSEWAY BAY,48,10,45,195,13,16,6
20/07/20,CAUSEWAY BAY,52,12,53,233,12,20,7
21/07/20,CAUSEWAY BAY,54,15,56,247,12,27,7
22/07/20,CAUSEWAY BAY,48,13,43,173,13,23,6
23/07/20,CAUSEWAY BAY,53,13,52,223,12,21,8
24/07/20,CAUSEWAY BAY,55,9,63,245,11,18,8
25/07/20,CAUSEWAY BAY,59,11,53,206,14,20,7
26/07/20,CAUSEWAY BAY,49,8,38,150,16,13,6
27/07/20,CAUSEWAY BAY,47,9,39,152,15,16,6
28/07/20,CAUSEWAY BAY,48,8,44,189,14,15,7
29/07/20,CAUSEWAY BAY,51,12,56,219,12,20,9
30/07/20,CAUSEWAY BAY,45,11,47,144,22,22,5
31/07/20,CAUSEWAY BAY,46,11,34,109,20,20,4
01/08/20,CAUSEWAY BAY,44,10,31,85,25,18,4
02/08/20,CAUSEWAY BAY,44,9,37,88,29,15,4
03/08/20,CAUSEWAY BAY,63,11,50,181,17,16,5
04/08/20,CAUSEWAY BAY,63,11,54,214,10,20,6
05/08/20,CAUSEWAY BAY,54,10,39,157,13,19,5
06/08/20,CAUSEWAY BAY,50,12,32,143,11,21,5
07/08/20,CAUSEWAY BAY,45,11,32,108,15,22,4
08/08/20,CAUSEWAY BAY,52,11,37,126,15,20,5
09/08/20,CAUSEWAY BAY,51,11,50,199,12,19,7
10/08/20,CAUSEWAY BAY,66,12,54,216,14,23,7
11/08/20,CAUSEWAY BAY,63,11,44,188,12,19,6
12/08/20,CAUSEWAY BAY,57,11,45,161,16,18,5
13/08/20,CAUSEWAY BAY,66,13,46,190,11,21,6
14/08/20,CAUSEWAY BAY,60,13,53,214,11,20,6
15/08/20,CAUSEWAY BAY,50,11,48,163,14,18,6
16/08/20,CAUSEWAY BAY,44,13,36,107,20,18,5
17/08/20,CAUSEWAY BAY,49,17,40,136,14,26,5
18/08/20,CAUSEWAY BAY,57,13,49,173,12,20,5
19/08/20,CAUSEWAY BAY,42,10,30,86,29,15,4
20/08/20,CAUSEWAY BAY,45,17,39,114,21,28,5
21/08/20,CAUSEWAY BAY,61,32,72,181,26,47,6
22/08/20,CAUSEWAY BAY,66,35,81,238,16,49,9
23/08/20,CAUSEWAY BAY,64,21,68,246,11,29,9
24/08/20,CAUSEWAY BAY,63,16,61,209,22,24,8
25/08/20,CAUSEWAY BAY,65,15,69,222,23,25,7
26/08/20,CAUSEWAY BAY,63,14,55,173,20,24,6
27/08/20,CAUSEWAY BAY,82,23,96,242,34,32,7
28/08/20,CAUSEWAY BAY,90,29,111,275,25,42,7
29/08/20,CAUSEWAY BAY,88,32,121,267,23,47,8
30/08/20,CAUSEWAY BAY,86,37,98,216,36,51,7
31/08/20,CAUSEWAY BAY,75,21,73,216,20,32,7
01/09/20,CAUSEWAY BAY,87,38,125,281,32,53,9
02/09/20,CAUSEWAY BAY,112,50,158,298,21,65,10
03/09/20,CAUSEWAY BAY,117,54,145,304,17,70,11
04/09/20,CAUSEWAY BAY,91,39,95,211,33,51,6
05/09/20,CAUSEWAY BAY,86,24,86,215,42,33,6
06/09/20,CAUSEWAY BAY,88,23,91,217,23,34,6
07/09/20,CAUSEWAY BAY,66,16,58,208,15,24,6
08/09/20,CAUSEWAY BAY,77,17,56,245,10,26,7
09/09/20,CAUSEWAY BAY,83,19,68,266,9,30,8
10/09/20,CAUSEWAY BAY,87,16,70,308,10,26,11
11/09/20,CAUSEWAY BAY,70,14,56,279,11,22,9
12/09/20,CAUSEWAY BAY,85,19,82,289,11,28,9
13/09/20,CAUSEWAY BAY,71,20,71,153,35,30,6
14/09/20,CAUSEWAY BAY,62,23,66,134,45,34,5
15/09/20,CAUSEWAY BAY,69,18,48,146,29,26,5
16/09/20,CAUSEWAY BAY,57,15,42,151,15,27,6
17/09/20,CAUSEWAY BAY,62,14,40,179,13,24,6
18/09/20,CAUSEWAY BAY,55,13,42,150,15,24,5
19/09/20,CAUSEWAY BAY,63,15,45,175,13,25,6
20/09/20,CAUSEWAY BAY,68,14,59,228,14,23,7
21/09/20,CAUSEWAY BAY,78,15,72,225,17,23,6
22/09/20,CAUSEWAY BAY,64,22,73,139,45,40,5
23/09/20,CAUSEWAY BAY,68,20,76,175,36,36,5
24/09/20,CAUSEWAY BAY,88,25,88,240,22,38,7
25/09/20,CAUSEWAY BAY,86,24,79,197,30,38,6
26/09/20,CAUSEWAY BAY,66,26,70,110,74,45,5
27/09/20,CAUSEWAY BAY,62,21,54,91,63,37,4
28/09/20,CAUSEWAY BAY,70,22,71,149,46,31,4
29/09/20,CAUSEWAY BAY,75,25,80,167,43,34,5
30/09/20,CAUSEWAY BAY,82,21,94,244,21,31,6
