DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
23/01/20,CAUSEWAY BAY,102,32,72,165,31,48,4
24/01/20,CAUSEWAY BAY,105,30,61,141,31,44,4
25/01/20,CAUSEWAY BAY,99,23,51,138,35,31,4
26/01/20,CAUSEWAY BAY,123,14,53,181,8,18,5
27/01/20,CAUSEWAY BAY,113,14,56,191,18,21,5
28/01/20,CAUSEWAY BAY,116,16,61,207,18,23,6
29/01/20,CAUSEWAY BAY,117,23,78,244,22,31,7
30/01/20,CAUSEWAY BAY,104,25,85,249,30,34,7
31/01/20,CAUSEWAY BAY,96,28,85,202,31,39,6
01/02/20,CAUSEWAY BAY,97,30,83,192,38,46,5
02/02/20,CAUSEWAY BAY,89,31,62,118,63,49,4
03/02/20,CAUSEWAY BAY,86,25,67,140,48,42,4
04/02/20,CAUSEWAY BAY,100,25,65,185,30,36,5
05/02/20,CAUSEWAY BAY,100,19,62,160,32,29,4
06/02/20,CAUSEWAY BAY,92,21,58,126,50,39,4
07/02/20,CAUSEWAY BAY,108,28,62,162,29,47,5
08/02/20,CAUSEWAY BAY,104,13,46,135,19,22,5
09/02/20,CAUSEWAY BAY,113,17,48,139,20,26,5
10/02/20,CAUSEWAY BAY,109,26,65,178,18,41,5
11/02/20,CAUSEWAY BAY,87,30,66,138,40,47,3
12/02/20,CAUSEWAY BAY,102,36,83,297,19,59,4
13/02/20,CAUSEWAY BAY,103,19,72,270,9,28,3
14/02/20,CAUSEWAY BAY,87,20,62,180,18,30,2
15/02/20,CAUSEWAY BAY,98,26,58,220,18,41,4
16/02/20,CAUSEWAY BAY,109,10,50,147,19,15,3
17/02/20,CAUSEWAY BAY,62,14,61,168,29,24,4
18/02/20,CAUSEWAY BAY,39,14,67,150,39,26,4
19/02/20,CAUSEWAY BAY,37,16,74,157,45,32,4
20/02/20,CAUSEWAY BAY,43,19,78,166,42,34,4
21/02/20,CAUSEWAY BAY,41,17,75,173,43,29,4
22/02/20,CAUSEWAY BAY,56,27,89,238,39,41,6
23/02/20,CAUSEWAY BAY,36,23,52,89,73,44,3
24/02/20,CAUSEWAY BAY,34,25,63,123,64,55,3
25/02/20,CAUSEWAY BAY,42,26,68,149,29,49,4
26/02/20,CAUSEWAY BAY,68,31,78,358,5,52,9
27/02/20,CAUSEWAY BAY,34,20,62,140,38,33,4
28/02/20,CAUSEWAY BAY,36,20,61,128,49,34,3
29/02/20,CAUSEWAY BAY,61,22,77,228,16,36,5
01/03/20,CAUSEWAY BAY,61,31,91,305,6,45,8
02/03/20,CAUSEWAY BAY,37,22,60,118,42,37,3
03/03/20,CAUSEWAY BAY,43,22,69,140,51,40,4
04/03/20,CAUSEWAY BAY,53,20,68,170,34,29,5
05/03/20,CAUSEWAY BAY,58,15,59,154,30,22,4
06/03/20,CAUSEWAY BAY,33,25,60,114,53,40,4
